Timecode List:,00:00:02.042,00:00:04.417,00:00:05.208,00:00:08.917,00:00:09.583,00:00:11.500,00:00:13.542,00:00:16.875,00:00:19.333,00:00:20.417,00:00:22.250,00:00:24.625,00:00:25.792,00:00:29.458,00:00:31.500,00:00:34.042,00:00:36.125,00:00:38.583,00:00:41.250,00:00:44.250,00:00:47.667,00:00:51.208,00:00:54.167,00:00:56.500,00:00:57.958,00:01:00.167,00:01:02.958,00:01:05.167,00:01:06.083,00:01:06.708,00:01:07.750,00:01:09.042,00:01:11.417,00:01:13.667,00:01:16.250,00:01:19.417,00:01:21.542,00:01:23.167,00:01:24.833,00:01:26.583,00:01:27.792,00:01:29.875,00:01:34.875,00:01:36.667,00:01:39.458,00:01:42.458,00:01:44.500,00:01:46.542,00:01:48.792,00:01:50.125,00:01:51.208,00:01:52.667,00:01:54.958,00:01:57.292,00:02:01.042,00:02:04.250,00:02:06.292,00:02:09.458,00:02:12.083,00:02:14.083,00:02:16.625,00:02:18.958,00:02:22.833,00:02:24.583,00:02:26.875,00:02:29.208,00:02:32.083,00:02:33.125,00:02:35.167,00:02:36.500,00:02:37.583,00:02:38.958,00:02:40.458,00:02:42.042,00:02:42.792,00:02:44.250,00:02:45.375,00:02:46.083,00:02:47.625,00:02:49.250,00:02:53.000,00:02:54.375,00:02:58.917,00:03:00.000,00:03:01.667,00:03:03.458,00:03:06.083,00:03:07.458,00:03:10.583,00:03:13.000,00:03:16.333,00:03:18.542,00:03:20.583,00:03:22.208,00:03:24.958,00:03:27.833,00:03:30.125,00:03:35.750
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,49,00:00:02.042,2.042,49,00:00:02.042,2.042
2,50,00:00:02.042,2.042,106,00:00:04.417,4.417,57,00:00:02.375,2.375
3,107,00:00:04.417,4.417,125,00:00:05.208,5.208,19,00:00:00.792,0.792
4,126,00:00:05.208,5.208,214,00:00:08.917,8.917,89,00:00:03.708,3.708
5,215,00:00:08.917,8.917,230,00:00:09.583,9.583,16,00:00:00.667,0.667
6,231,00:00:09.583,9.583,276,00:00:11.500,11.500,46,00:00:01.917,1.917
7,277,00:00:11.500,11.500,325,00:00:13.542,13.542,49,00:00:02.042,2.042
8,326,00:00:13.542,13.542,405,00:00:16.875,16.875,80,00:00:03.333,3.333
9,406,00:00:16.875,16.875,464,00:00:19.333,19.333,59,00:00:02.458,2.458
10,465,00:00:19.333,19.333,490,00:00:20.417,20.417,26,00:00:01.083,1.083
11,491,00:00:20.417,20.417,534,00:00:22.250,22.250,44,00:00:01.833,1.833
12,535,00:00:22.250,22.250,591,00:00:24.625,24.625,57,00:00:02.375,2.375
13,592,00:00:24.625,24.625,619,00:00:25.792,25.792,28,00:00:01.167,1.167
14,620,00:00:25.792,25.792,707,00:00:29.458,29.458,88,00:00:03.667,3.667
15,708,00:00:29.458,29.458,756,00:00:31.500,31.500,49,00:00:02.042,2.042
16,757,00:00:31.500,31.500,817,00:00:34.042,34.042,61,00:00:02.542,2.542
17,818,00:00:34.042,34.042,867,00:00:36.125,36.125,50,00:00:02.083,2.083
18,868,00:00:36.125,36.125,926,00:00:38.583,38.583,59,00:00:02.458,2.458
19,927,00:00:38.583,38.583,990,00:00:41.250,41.250,64,00:00:02.667,2.667
20,991,00:00:41.250,41.250,1062,00:00:44.250,44.250,72,00:00:03.000,3.000
21,1063,00:00:44.250,44.250,1144,00:00:47.667,47.667,82,00:00:03.417,3.417
22,1145,00:00:47.667,47.667,1229,00:00:51.208,51.208,85,00:00:03.542,3.542
23,1230,00:00:51.208,51.208,1300,00:00:54.167,54.167,71,00:00:02.958,2.958
24,1301,00:00:54.167,54.167,1356,00:00:56.500,56.500,56,00:00:02.333,2.333
25,1357,00:00:56.500,56.500,1391,00:00:57.958,57.958,35,00:00:01.458,1.458
26,1392,00:00:57.958,57.958,1444,00:01:00.167,60.167,53,00:00:02.208,2.208
27,1445,00:01:00.167,60.167,1511,00:01:02.958,62.958,67,00:00:02.792,2.792
28,1512,00:01:02.958,62.958,1564,00:01:05.167,65.167,53,00:00:02.208,2.208
29,1565,00:01:05.167,65.167,1586,00:01:06.083,66.083,22,00:00:00.917,0.917
30,1587,00:01:06.083,66.083,1601,00:01:06.708,66.708,15,00:00:00.625,0.625
31,1602,00:01:06.708,66.708,1626,00:01:07.750,67.750,25,00:00:01.042,1.042
32,1627,00:01:07.750,67.750,1657,00:01:09.042,69.042,31,00:00:01.292,1.292
33,1658,00:01:09.042,69.042,1714,00:01:11.417,71.417,57,00:00:02.375,2.375
34,1715,00:01:11.417,71.417,1768,00:01:13.667,73.667,54,00:00:02.250,2.250
35,1769,00:01:13.667,73.667,1830,00:01:16.250,76.250,62,00:00:02.583,2.583
36,1831,00:01:16.250,76.250,1906,00:01:19.417,79.417,76,00:00:03.167,3.167
37,1907,00:01:19.417,79.417,1957,00:01:21.542,81.542,51,00:00:02.125,2.125
38,1958,00:01:21.542,81.542,1996,00:01:23.167,83.167,39,00:00:01.625,1.625
39,1997,00:01:23.167,83.167,2036,00:01:24.833,84.833,40,00:00:01.667,1.667
40,2037,00:01:24.833,84.833,2078,00:01:26.583,86.583,42,00:00:01.750,1.750
41,2079,00:01:26.583,86.583,2107,00:01:27.792,87.792,29,00:00:01.208,1.208
42,2108,00:01:27.792,87.792,2157,00:01:29.875,89.875,50,00:00:02.083,2.083
43,2158,00:01:29.875,89.875,2277,00:01:34.875,94.875,120,00:00:05.000,5.000
44,2278,00:01:34.875,94.875,2320,00:01:36.667,96.667,43,00:00:01.792,1.792
